CPF,Endereço do Imóvel,Tipo de Imóvel,Área do Imóvel (m²),Valor do Imóvel,Número de Quartos,Número de Banheiros,Tem Piscina?,Tem Garagem?,Tem Elevador?,Condomínio Fechado?,Valor do Condomínio,Ano de Construção,Tipo de Oferta,Data da Última Reforma
231.708.946-50,"Rua de da Luz, 316
Minas Brasil
47901462 Pereira / RR",Apartamento,240,832800,2,4,Não,Não,Não,Não,841,2023,Aluguel,10/08/2018
764.832.591-82,"Viaduto de Oliveira
Vila Canto Do Sabiá
60907941 Ramos / RJ",Apartamento,346,1064988,3,3,Não,Sim,Sim,Sim,752,1990,Aluguel,03/01/2021
195.082.364-42,"Favela de Sá, 80
Vila Independencia 3ª Seção
13760215 Gomes / RS",Casa,119,262990,1,2,Sim,Sim,Não,Sim,990,1993,Aluguel,04/05/2023
382.109.765-59,"Estação Lara Pastor, 64
Mangabeiras
78050-930 Nascimento de Garcia / PB",Casa,147,640038,2,4,Não,Não,Não,Não,1208,1980,Aluguel,10/09/2020
817.243.065-53,"Praia da Cruz, 37
Pousada Santo Antonio
52372-645 da Costa / MT",Casa,254,1167384,3,5,Sim,Sim,Não,Sim,1085,1984,Venda,17/02/2017
105.472.396-61,"Sítio de Cardoso, 24
Barroca
26741496 Carvalho da Prata / RR",Casa,126,519120,3,5,Sim,Sim,Sim,Não,1480,2011,Aluguel,22/01/2021
305.496.178-84,"Via de Carvalho
Vila Tirol
16145304 Pimenta do Oeste / MG",Terreno,199,582871,1,1,Não,Não,Sim,Sim,926,2004,Aluguel,19/01/2017
857.012.496-11,"Loteamento Maria Helena Monteiro, 48
Leticia
60294021 Mendes / PI",Terreno,271,710020,5,7,Não,Sim,Não,Sim,1347,1997,Venda,27/07/2022
524.368.190-33,"Ladeira Cecília Carvalho, 29
Vila Jardim Montanhes
75519475 Moura / PR",Apartamento,386,1759774,5,6,Não,Sim,Não,Sim,1144,2011,Venda,04/10/2019
207.364.591-70,"Conjunto Manuela Silva, 60
Saudade
39921798 Ribeiro / SC",Apartamento,351,1720602,5,6,Sim,Sim,Sim,Sim,928,2008,Aluguel,16/03/2022
109.438.765-75,"Lago de Brito
Vila Fumec
39159821 Sá do Amparo / RS",Casa,298,1040914,4,4,Sim,Sim,Sim,Não,1249,1998,Venda,24/11/2025
637.825.014-62,"Avenida de Farias, 48
Jardim Guanabara
16410-329 Rocha Paulista / PI",Casa,273,968604,1,2,Não,Sim,Sim,Não,750,1993,Aluguel,01/04/2026
320.461.875-71,"Trecho Ryan Pereira, 99
Jardim Atlântico
47898-855 Aragão Verde / RJ",Casa,365,768690,2,4,Não,Não,Sim,Sim,688,1990,Aluguel,09/06/2024
976.204.385-56,"Pátio Siqueira, 687
Vila Fumec
77957-673 Nascimento de Minas / AL",Apartamento,362,1149350,2,2,Sim,Sim,Sim,Sim,1281,2004,Aluguel,25/11/2017
568.790.342-92,"Setor de Souza, 66
Petropolis
93452954 Vasconcelos / AP",Terreno,179,790643,5,6,Não,Sim,Sim,Não,343,1991,Venda,24/05/2022
548.607.291-02,"Setor de Pimenta, 2
Braúnas
60491-129 Pereira / MG",Casa,164,394420,3,4,Sim,Sim,Sim,Não,1288,1988,Aluguel,26/09/2017
649.783.521-00,"Viaduto de Dias
Suzana
98186817 Dias do Campo / AC",Casa,497,2454683,1,3,Não,Não,Não,Não,1887,2012,Venda,30/07/2021
826.954.701-85,"Praça Marques, 200
Vila De Sá
75358-896 Carvalho / RO",Terreno,229,1120039,4,6,Não,Não,Sim,Sim,1027,2022,Aluguel,21/05/2022
812.975.064-30,"Ladeira Cavalcanti, 36
São Francisco Das Chagas
30487-750 Dias / TO",Casa,451,1036849,1,2,Sim,Sim,Sim,Sim,1578,1994,Venda,19/03/2017
378.019.462-78,"Largo Pereira, 9
Estoril
93244694 Moraes das Pedras / AC",Casa,167,742148,5,7,Sim,Sim,Não,Sim,1081,2018,Aluguel,15/09/2019
890.542.671-94,"Avenida de Martins
Gutierrez
80642-242 Ramos / BA",Casa,51,126837,1,1,Não,Sim,Não,Sim,939,2001,Aluguel,05/07/2019
458.230.179-79,"Praia Emanuel Nogueira, 64
Santa Rita
45738039 da Mata / PR",Terreno,63,227997,5,7,Sim,Sim,Não,Sim,520,1990,Aluguel,12/10/2018
350.672.914-43,"Loteamento da Rosa, 30
Aparecida
18070-252 Teixeira de Macedo / PR",Apartamento,233,1140302,1,3,Sim,Sim,Sim,Não,614,1980,Aluguel,26/06/2021
938.472.615-09,"Morro da Cunha, 34
Barreiro
77491526 Pires / ES",Casa,234,1005732,4,4,Não,Não,Não,Sim,940,2001,Venda,03/11/2017
613.249.875-37,"Estação Gabriela Brito, 6
Silveira
08231-343 Moura do Norte / CE",Apartamento,70,245560,4,5,Sim,Sim,Sim,Não,1419,2018,Aluguel,14/06/2019
624.718.395-09,"Núcleo Peixoto, 16
Vila Ipiranga
82529667 Santos Verde / ES",Terreno,434,1759436,5,7,Sim,Sim,Não,Não,1987,2011,Aluguel,17/02/2020
460.827.391-40,"Setor Guerra, 74
Capitão Eduardo
60008-778 Pacheco de Novais / CE",Terreno,124,507160,3,4,Não,Sim,Não,Não,1302,1986,Venda,16/04/2020
203.865.179-59,"Praia Rios, 524
Buraco Quente
34759-212 Monteiro do Campo / AM",Terreno,201,638778,3,3,Sim,Sim,Sim,Não,1325,2010,Aluguel,13/06/2022
345.712.860-07,"Trevo Brito, 5
Caiçaras
72799652 Moura de Castro / SP",Apartamento,283,1186336,3,4,Não,Sim,Não,Sim,1995,2023,Aluguel,26/02/2018
792.546.381-37,"Parque Nunes, 12
Maria Tereza
48510-568 Garcia / CE",Terreno,182,519246,3,4,Não,Sim,Não,Sim,1269,2004,Venda,11/04/2024
743.821.650-08,"Aeroporto Dom Sousa, 67
Senhor Dos Passos
01917-434 Ribeiro dos Dourados / ES",Apartamento,108,475632,1,1,Não,Sim,Não,Não,1844,1988,Venda,13/08/2018
721.350.698-68,"Trecho Fernando Pacheco, 9
Santa Cecilia
24268674 Mendonça da Serra / RN",Apartamento,450,2029500,3,4,Sim,Sim,Sim,Sim,372,1997,Aluguel,09/05/2023
645.710.829-67,"Passarela Carlos Eduardo Moraes, 40
Lagoinha
72419-641 da Costa da Prata / AC",Apartamento,426,1698036,2,2,Sim,Sim,Sim,Não,997,1997,Venda,05/01/2026
869.130.257-77,"Praça de Sampaio, 30
Santa Terezinha
38925-541 Camargo do Galho / BA",Terreno,314,1532006,3,4,Não,Não,Sim,Não,981,1990,Venda,14/05/2024
438.561.907-75,"Residencial da Mota, 2
Baleia
54553-403 Porto / TO",Terreno,237,942075,4,4,Sim,Sim,Sim,Sim,1373,2020,Venda,12/04/2020
574.390.862-10,"Jardim Ana Ferreira
Vila Antena Montanhês
62784-589 Moreira das Pedras / AC",Casa,225,515250,4,5,Sim,Sim,Não,Não,902,1980,Venda,17/03/2026
406.539.218-70,"Quadra de Novaes, 28
Glória
01189-131 Sales de da Rosa / SP",Terreno,269,1085953,5,7,Sim,Sim,Sim,Sim,1179,1985,Aluguel,22/09/2022
712.893.465-00,"Pátio Hadassa Teixeira, 1
Cruzeiro
82698-674 Fernandes / RO",Casa,202,744572,3,5,Não,Sim,Sim,Não,1316,1995,Venda,11/10/2025
064.297.135-80,"Condomínio Rhavi Câmara, 33
Cenaculo
70952-385 Moura / MA",Apartamento,206,847278,2,2,Não,Sim,Sim,Não,1309,2002,Aluguel,25/09/2023
847.269.510-76,"Lago de Nunes, 530
Floresta
16843070 Casa Grande / RJ",Casa,257,563858,2,4,Sim,Sim,Não,Sim,1042,1981,Venda,28/02/2019
273.605.198-02,"Feira Raquel Ramos, 712
Solar Do Barreiro
92863936 Farias / MS",Apartamento,482,1461906,1,2,Não,Não,Sim,Não,1230,2007,Aluguel,28/11/2024
107.238.469-87,"Quadra Enrico Ramos, 31
Solar Do Barreiro
72404-915 Machado / MS",Terreno,465,2208285,1,1,Sim,Sim,Sim,Não,1367,1995,Aluguel,11/06/2017
948.257.036-74,"Área Danilo Fonseca
Taquaril
12588-371 da Rocha Paulista / AM",Apartamento,56,150584,4,5,Sim,Sim,Sim,Não,1889,2021,Venda,07/02/2018
051.827.469-11,"Rua Benício Pacheco
Vila Aeroporto Jaraguá
00236-181 Moura da Serra / CE",Apartamento,478,2188284,1,2,Não,Não,Não,Sim,1146,1988,Venda,01/12/2016
568.401.279-58,"Setor de Nascimento, 2
Madre Gertrudes
43522077 da Rocha Grande / PI",Casa,231,746130,3,5,Sim,Sim,Sim,Sim,239,1998,Aluguel,25/11/2025
598.607.342-83,"Condomínio de Abreu, 55
Outro
92711-774 Moraes / PI",Casa,393,1636452,2,2,Sim,Sim,Sim,Não,1327,2015,Aluguel,27/06/2025
064.357.198-10,"Chácara Câmara, 91
Mangueiras
74727443 Farias da Mata / PI",Casa,473,1982343,5,6,Não,Sim,Sim,Não,1702,1992,Venda,31/05/2023
519.728.603-21,"Via Raul Andrade, 66
Santa Cecilia
31220-181 Cunha do Norte / PR",Terreno,400,868000,5,5,Sim,Sim,Sim,Sim,372,2008,Venda,15/11/2018
062.795.438-38,"Ladeira Rocha, 60
Conjunto Minas Caixa
82660-850 Brito Verde / SC",Terreno,498,1299282,4,4,Sim,Sim,Sim,Sim,1992,1991,Aluguel,14/08/2025
583.276.901-59,"Avenida Ana Vitória Marques, 77
Taquaril
96527912 da Cruz Alegre / PB",Apartamento,379,1777510,1,1,Sim,Sim,Sim,Sim,429,2011,Venda,17/01/2023
280.751.346-80,"Conjunto Dias, 17
Conjunto Celso Machado
90107-163 da Mata / AP",Casa,498,2415798,2,2,Sim,Sim,Sim,Não,1258,2022,Venda,19/12/2016
796.328.510-21,"Viaduto Rebeca Farias, 4
Coração Eucarístico
08764-918 da Paz do Norte / PE",Terreno,164,400324,5,7,Sim,Sim,Não,Não,1868,2022,Aluguel,27/09/2016
256.973.084-00,"Campo Moreira, 87
Novo Aarão Reis
49929-836 Pereira das Pedras / PE",Terreno,447,1209135,2,4,Não,Não,Não,Sim,1319,2018,Aluguel,20/10/2022
672.035.491-43,"Trecho Raul Lima, 3
Conjunto Taquaril
03373148 Cavalcante / ES",Terreno,297,880011,3,3,Não,Sim,Não,Sim,452,1999,Aluguel,26/12/2018
138.045.729-79,"Rodovia Luiza Nunes, 55
Alpes
02591-493 Melo / MT",Casa,332,1543136,5,5,Sim,Sim,Sim,Sim,332,2022,Venda,16/12/2023
584.790.216-67,"Travessa Isis Cunha, 13
Ambrosina
49363455 Moraes / TO",Terreno,228,595992,5,6,Não,Não,Não,Não,716,1985,Venda,20/05/2025
869.530.217-21,"Esplanada Lopes, 49
Apolonia
62691-679 Caldeira / AL",Casa,379,1739989,3,3,Sim,Sim,Não,Sim,604,2008,Aluguel,18/10/2017
694.018.327-22,"Pátio da Rocha, 69
Mariquinhas
31022-699 Silveira de Azevedo / BA",Terreno,170,498610,2,4,Sim,Sim,Sim,Não,645,2004,Venda,23/12/2017
396.508.421-60,"Alameda da Cunha, 58
Monsenhor Messias
79738-987 Fernandes / AP",Apartamento,160,586400,2,4,Sim,Sim,Não,Não,233,2012,Venda,05/01/2026
786.102.395-86,"Fazenda de Peixoto, 1
Horto
32382-884 Peixoto / AL",Apartamento,259,943278,1,1,Não,Não,Sim,Não,599,1982,Venda,15/10/2017
237.519.084-04,"Estação de Viana, 27
Cônego Pinheiro 2ª Seção
64849-682 Leão das Pedras / PR",Apartamento,285,1196430,2,4,Não,Não,Sim,Não,507,2004,Venda,15/01/2023
569.018.732-12,"Esplanada de Rios, 1
Conjunto Novo Dom Bosco
83366-565 Siqueira de Ferreira / RN",Casa,354,971376,5,6,Sim,Sim,Sim,Não,1165,1987,Aluguel,16/07/2025
873.460.195-39,"Praça de Moreira, 83
Cidade Nova
15292404 Pastor / MG",Casa,179,700785,5,6,Não,Não,Sim,Não,1273,2005,Aluguel,27/10/2018
275.638.401-17,"Feira Carvalho, 14
São Bento
25734-370 Cunha das Flores / MA",Apartamento,490,985880,3,5,Não,Não,Sim,Não,1568,2015,Venda,26/01/2017
847.256.093-74,"Parque Barbosa, 33
Cidade Jardim Taquaril
83266-811 Barros Paulista / SP",Apartamento,120,526080,4,5,Sim,Sim,Sim,Não,819,1992,Aluguel,14/08/2024
278.340.961-50,"Ladeira Abreu, 41
Piratininga
73642-893 Sampaio do Sul / MS",Casa,117,424827,4,6,Sim,Sim,Não,Não,1542,2011,Aluguel,05/03/2024
630.724.815-71,"Feira Siqueira, 51
Vila Esplanada
71646324 Costela / MT",Casa,376,1831120,1,2,Não,Não,Não,Não,1898,2023,Aluguel,13/03/2025
235.864.107-35,"Loteamento de Novais, 81
São Paulo
34810269 Barros de Cardoso / PI",Casa,322,1092224,2,3,Não,Não,Não,Sim,313,1982,Aluguel,20/08/2022
957.463.208-38,"Rodovia Isaac Vargas, 7
Maria Virgínia
35200-612 Rodrigues / AP",Casa,122,417484,4,5,Não,Não,Sim,Sim,1564,1996,Venda,24/03/2026
538.416.270-80,"Via de Lima, 20
Belvedere
77365-231 Vargas do Norte / TO",Terreno,393,931803,3,5,Não,Sim,Sim,Sim,1447,2019,Aluguel,05/12/2018
467.085.913-75,"Via de Garcia, 982
Vila Sesc
53209794 Pacheco da Mata / AC",Terreno,408,1041216,3,3,Sim,Sim,Sim,Sim,1554,2018,Aluguel,01/12/2025
672.983.145-64,"Conjunto Yuri Novais, 3
Caiçara - Adelaide
86241934 Vasconcelos das Pedras / DF",Apartamento,486,1624698,1,3,Sim,Sim,Não,Não,347,1985,Venda,01/03/2017
472.563.819-64,"Rodovia Brito, 76
Tres Marias
03234-121 Almeida do Oeste / PB",Apartamento,387,1335924,4,4,Sim,Sim,Sim,Sim,347,2010,Aluguel,22/10/2021
296.015.843-15,"Morro Ramos, 8
Delta
06137-824 Castro do Amparo / ES",Casa,386,936050,2,2,Sim,Sim,Não,Sim,1259,2015,Aluguel,04/11/2023
